CMDLINE .\tauri-counter-app.exe
MEM 333.378906 1660495628.5911
CHLD 0 97.125000 1660495628.5951
CHLD 1 7.484375 1660495628.5951
CHLD 2 84.171875 1660495628.5951
CHLD 3 25.746094 1660495628.5951
CHLD 4 18.171875 1660495628.5951
CHLD 5 64.148438 1660495628.5951
CHLD 6 17.328125 1660495628.5951
MEM 333.378906 1660495628.7188
CHLD 0 97.125000 1660495628.7238
CHLD 1 7.484375 1660495628.7238
CHLD 2 84.171875 1660495628.7238
CHLD 3 25.746094 1660495628.7238
CHLD 4 18.171875 1660495628.7238
CHLD 5 64.148438 1660495628.7238
CHLD 6 17.328125 1660495628.7238
MEM 333.425781 1660495628.8430
CHLD 0 97.125000 1660495628.8460
CHLD 1 7.484375 1660495628.8460
CHLD 2 84.175781 1660495628.8460
CHLD 3 25.746094 1660495628.8460
CHLD 4 18.171875 1660495628.8460
CHLD 5 64.191406 1660495628.8460
CHLD 6 17.328125 1660495628.8460
MEM 333.429688 1660495628.9684
CHLD 0 97.125000 1660495628.9734
CHLD 1 7.484375 1660495628.9734
CHLD 2 84.175781 1660495628.9734
CHLD 3 25.746094 1660495628.9734
CHLD 4 18.171875 1660495628.9734
CHLD 5 64.203125 1660495628.9734
CHLD 6 17.328125 1660495628.9734
MEM 333.468750 1660495629.0867
CHLD 0 97.125000 1660495629.0907
CHLD 1 7.484375 1660495629.0907
CHLD 2 84.175781 1660495629.0907
CHLD 3 25.746094 1660495629.0907
CHLD 4 18.171875 1660495629.0907
CHLD 5 64.234375 1660495629.0907
CHLD 6 17.328125 1660495629.0907
MEM 333.468750 1660495629.2017
CHLD 0 97.125000 1660495629.2067
CHLD 1 7.484375 1660495629.2067
CHLD 2 84.175781 1660495629.2067
